Date,General Unemployment Rate,High School Unemployment Rate,Bachelor's Degree Unemployment Rate,Master's Degree Unemployment Rate,Real M2 Money Stock,Real GDP,Inflation Rate,Food and Drinking Places Retail Sales,Housing Prices,Medical Prices
2018-01-01,4.0,4.5,2.5,2.3,5570.1,20044.077,2.0,59420.0,107.44,480.797
2018-02-01,4.1,4.4,2.3,2.2,5570.3,,2.05,59687.0,107.91,481.6
2018-03-01,4.0,4.3,2.5,1.8,5592.7,,2.06,60248.0,107.85,483.078
2018-04-01,4.0,4.3,2.2,1.6,5587.2,20150.476,2.1,59500.0,107.88,483.577
2018-05-01,3.8,3.9,2.1,1.7,5600.7,,2.11,60839.0,108.38,484.543
2018-06-01,4.0,4.1,2.5,2.6,5620.0,,2.11,61456.0,109.17,486.209
2018-07-01,3.8,4.1,2.2,3.0,5630.8,20276.154,2.09,62231.0,109.34,485.246
2018-08-01,3.8,4.0,2.2,2.9,5639.8,,2.05,62523.0,109.75,484.273
2018-09-01,3.7,3.7,2.1,1.9,5640.6,,2.08,61153.0,109.56,485.039
2018-10-01,3.8,4.0,2.2,1.9,5631.4,20304.874,2.06,61698.0,109.42,485.652
2018-11-01,3.8,3.5,2.4,2.0,5639.5,,1.93,61431.0,109.55,487.615
2018-12-01,3.9,3.8,2.1,2.1,5679.3,,1.71,61360.0,110.18,488.82
2019-01-01,4.0,3.8,2.8,2.2,5708.4,20415.15,1.7,61348.0,110.35,489.968
2019-02-01,3.8,3.8,2.6,1.8,5706.0,,1.81,61679.0,110.37,490.16
2019-03-01,3.8,3.7,2.2,1.8,5701.1,,1.87,62257.0,110.62,491.412
2019-04-01,3.7,3.4,2.5,1.5,5693.2,20584.528,1.89,62731.0,110.74,492.97
2019-05-01,3.6,3.5,2.4,1.7,5735.9,,1.78,63406.0,110.98,494.859
2019-06-01,3.6,3.8,2.4,2.4,5785.5,,1.63,64307.0,111.82,495.745
2019-07-01,3.7,3.6,2.5,2.9,5804.2,20817.581,1.66,65053.0,112.11,497.714
2019-08-01,3.6,3.6,2.3,2.5,5830.7,,1.48,65266.0,112.22,500.662
2019-09-01,3.5,3.5,1.5,1.8,5857.3,,1.51,65958.0,112.32,501.71
2019-10-01,3.6,3.7,1.8,2.0,5893.1,20951.088,1.5,66430.0,112.26,506.433
2019-11-01,3.6,3.6,2.0,2.1,5914.6,,1.62,66533.0,112.38,508.315
2019-12-01,3.6,3.7,2.0,1.8,5921.1,,1.7,67701.0,112.64,510.875
2020-01-01,3.6,3.9,2.6,2.0,5940.6,20665.553,1.71,68991.0,113.19,511.865
2020-02-01,3.5,3.7,2.5,1.7,5952.8,,1.62,68979.0,113.22,513.013
2020-03-01,4.4,4.5,2.6,2.5,6183.2,,0.9,48480.0,113.12,514.725
2020-04-01,14.8,17.7,10.2,6.7,6631.1,19034.83,0.99,31394.0,113.04,516.814
2020-05-01,13.2,15.9,9.6,5.6,6977.2,,0.97,41252.0,113.26,519.225
2020-06-01,11.0,12.3,9.5,5.6,7059.3,,1.17,53159.0,114.09,520.957
2020-07-01,10.2,10.8,10.6,6.0,7079.2,20511.785,1.41,55528.0,114.3,522.722
2020-08-01,8.4,9.9,8.0,4.9,7080.8,,1.63,58180.0,114.38,522.86
2020-09-01,7.8,9.1,6.3,3.9,7151.9,,1.6,59745.0,114.73,522.666
2020-10-01,6.8,8.2,5.2,3.6,7202.1,20724.128,1.65,59566.0,114.64,520.9
2020-11-01,6.7,7.8,5.1,3.5,7267.0,,1.69,57134.0,114.86,520.565
2020-12-01,6.7,7.9,4.0,3.5,7288.9,,1.9,53767.0,115.19,519.907
2021-01-01,6.4,7.0,5.1,3.7,7360.6,20990.541,2.08,58817.0,115.53,521.792
2021-02-01,6.2,7.1,3.9,3.6,7420.7,,2.26,57289.0,116.04,523.471
2021-03-01,6.1,6.6,3.7,3.6,7474.0,,2.41,65385.0,116.22,523.979
2021-04-01,6.1,7.0,4.0,2.7,7544.5,21309.544,2.42,68285.0,116.62,524.529
2021-05-01,5.8,6.9,3.2,2.5,7610.1,,2.53,70254.0,117.14,524.088
2021-06-01,5.9,7.0,4.1,2.9,7564.0,,2.41,73432.0,118.11,523.256
2021-07-01,5.4,6.2,4.1,3.2,7582.9,21483.083,2.39,74830.0,118.57,524.304
2021-08-01,5.1,6.0,4.1,2.5,7638.0,,2.4,74752.0,119.17,524.646
2021-09-01,4.7,5.7,2.7,2.1,7654.9,,2.44,74803.0,119.88,524.764
2021-10-01,4.5,5.3,2.9,1.8,7649.7,21847.602,2.68,75045.0,120.9,527.597
2021-11-01,4.1,5.1,2.7,1.5,7647.3,,2.84,75600.0,121.23,529.512
2021-12-01,3.9,4.5,2.2,1.2,7656.7,,2.64,74367.0,121.59,531.053
2022-01-01,4.0,4.6,2.5,1.3,7634.4,21738.871,2.64,72709.0,123.34,534.704
2022-02-01,3.8,4.4,2.9,1.9,7596.5,,2.69,75913.0,123.79,536.293
2022-03-01,3.6,4.0,2.3,1.7,7553.7,,3.14,78255.0,124.84,539.079
2022-04-01,3.7,3.8,2.6,1.8,7522.5,21708.16,3.12,81104.0,125.75,541.633
2022-05-01,3.6,3.7,2.3,1.8,7444.9,,2.88,81758.0,127.73,543.814
2022-06-01,3.6,3.6,2.8,2.2,7339.2,,2.79,82342.0,130.25,547.073
2022-07-01,3.5,3.6,2.9,2.7,7337.2,21851.134,2.52,82028.0,130.69,549.741
2022-08-01,3.6,4.4,2.6,2.3,7323.3,,2.62,84120.0,131.97,552.723
2022-09-01,3.5,3.7,2.3,1.5,7268.3,,2.46,84418.0,132.99,556.125
2022-10-01,3.6,4.0,2.0,1.7,7208.5,21989.981,2.45,85909.0,133.13,553.89
2022-11-01,3.6,3.9,2.5,1.7,7167.3,,2.43,85365.0,133.27,551.364
2022-12-01,3.5,3.6,2.3,1.3,7131.3,,2.33,84985.0,134.15,551.95
2023-01-01,3.4,3.8,3.1,1.6,7065.9,22112.329,2.25,90330.0,135.7,551.022
2023-02-01,3.6,3.6,2.9,1.8,7014.9,,2.41,88160.0,135.5,548.925
2023-03-01,3.5,4.0,2.9,1.7,6927.3,,2.38,88461.0,135.02,547.25
2023-04-01,3.4,3.9,2.2,1.7,6845.8,,2.29,88736.0,134.91,547.462
2023-05-01,3.7,3.9,2.7,1.8,6868.8,,2.19,89984.0,135.0,547.889
2023-06-01,3.6,3.9,2.9,2.3,,,2.2,90804.0,136.25,547.832
2023-07-01,3.5,3.3,3.1,2.5,,,2.29,91371.0,136.83,546.959
2023-08-01,3.8,3.9,3.1,2.8,,,2.33,91692.0,137.52,547.354
2023-09-01,3.8,4.1,2.7,2.0,,,2.35,92979.0,138.21,548.158
2023-10-01,3.8,4.0,3.1,2.1,,,2.39,93381.0,138.38,549.491
2023-11-01,3.7,4.1,2.7,1.8,,,2.31,94672.0,139.1,552.182
2023-12-01,3.7,4.2,2.6,1.8,,,2.19,94526.0,139.55,554.295
2024-01-01,3.7,4.3,2.7,2.0,,,2.26,93710.0,140.88,556.811
2024-02-01,3.9,4.2,3.2,1.9,,,2.32,93799.0,141.38,556.668
2024-03-01,3.8,4.1,2.9,2.0,,,2.36,93678.0,141.74,559.368
2024-04-01,3.9,4.0,2.0,2.3,,,2.44,94223.0,141.55,561.86
2024-05-01,4.0,4.3,2.5,1.9,,,2.33,94575.0,141.92,564.732
2024-06-01,4.1,4.2,3.7,2.6,,,2.23,94831.0,,565.711
2015-01-01,,,,,,18666.621,,,,
2015-04-01,,,,,,18782.243,,,,
2015-07-01,,,,,,18857.418,,,,
2015-10-01,,,,,,18892.206,,,,
2016-01-01,,,,,,19001.69,,,,
2016-04-01,,,,,,19062.709,,,,
2016-07-01,,,,,,19197.938,,,,
2016-10-01,,,,,,19304.352,,,,
2017-01-01,,,,,,19398.343,,,,
2017-04-01,,,,,,19506.949,,,,
2017-07-01,,,,,,19660.766,,,,
2017-10-01,,,,,,19882.352,,,,
